Sub-Category ID,Product Sub-Category,Product Category
1,Office Furnishings,Furniture
2,Pens & Art Supplies,Office Supplies
3,Rubber Bands,Office Supplies
4,Paper,Office Supplies
5,Chairs & Chairmats,Furniture
6,Computer Peripherals,Technology
7,Telephones and Communication,Technology
8,Envelopes,Office Supplies
9,Binders and Binder Accessories,Office Supplies
10,Appliances,Office Supplies
11,Storage & Organization,Office Supplies
12,Bookcases,Furniture
13,"Scissors, Rulers and Trimmers",Office Supplies
14,Copiers and Fax,Technology
15,Office Machines,Technology
16,Tables,Furniture
17,Labels,Office Supplies
